GEOID1,GEOID,HD01_VD01,HD01_VD02,Ratio
1400000US,4013113601,886,284,0.32
1400000US,4013113602,840,423,0.5
1400000US,4013113700,1605,579,0.36
1400000US,4013113801,271,101,0.37
1400000US,4013113802,0,0,0
1400000US,4013113900,213,138,0.65
1400000US,4013114000,270,142,0.53
1400000US,4013114100,135,5,0.04
1400000US,4013114200,224,81,0.36
1400000US,4013114301,46,19,0.41
1400000US,4013114302,579,263,0.45
1400000US,4013114401,314,164,0.52
1400000US,4013114402,377,161,0.43
1400000US,4013114500,688,248,0.36
1400000US,4013114600,339,126,0.37
1400000US,4013114703,189,91,0.48
1400000US,4013114800,638,232,0.36
1400000US,4013114900,481,213,0.44
1400000US,4013115200,571,139,0.24
1400000US,4013115300,550,184,0.33
1400000US,4013115400,462,210,0.45
1400000US,4013115500,800,228,0.29
1400000US,4013115600,877,235,0.27
1400000US,4013115700,1411,338,0.24
1400000US,4013115801,868,300,0.35
1400000US,4013115802,692,262,0.38
1400000US,4013115900,1164,308,0.26
1400000US,4013116000,1128,279,0.25
1400000US,4013116100,800,303,0.38
1400000US,4013116202,1044,218,0.21
1400000US,4013116203,1224,184,0.15
1400000US,4013116204,707,119,0.17
1400000US,4013116205,908,280,0.31
1400000US,4013116300,1483,270,0.18
1400000US,4013116400,1123,287,0.26
1400000US,4013116500,1086,258,0.24
1400000US,4013116602,1802,512,0.28
1400000US,4013116603,1508,146,0.1
1400000US,4013116604,1107,203,0.18
1400000US,4013116605,1448,193,0.13
1400000US,4013116606,1476,209,0.14
1400000US,4013116607,650,96,0.15
1400000US,4013116608,1019,204,0.2
1400000US,4013116609,1127,50,0.04
1400000US,4013116610,1319,137,0.1
1400000US,4013116611,877,79,0.09
1400000US,4013116612,1283,61,0.05
1400000US,4013116613,1812,169,0.09
1400000US,4013116702,1719,370,0.22
1400000US,4013116703,1130,76,0.07
1400000US,4013116704,1975,48,0.02
1400000US,4013116707,832,31,0.04
1400000US,4013116708,1420,91,0.06
1400000US,4013116709,563,21,0.04
1400000US,4013116710,1565,43,0.03
1400000US,4013116711,543,39,0.07
1400000US,4013116712,1534,25,0.02
1400000US,4013116713,1446,36,0.02
1400000US,4013116714,1001,16,0.02
1400000US,4013116715,587,0,0
1400000US,4013116717,715,68,0.1
1400000US,4013116718,676,43,0.06
1400000US,4013116719,1850,14,0.01
1400000US,4013116720,998,74,0.07
1400000US,4013116721,891,20,0.02
1400000US,4013116725,1295,13,0.01
1400000US,4013116727,1089,15,0.01
1400000US,4013116728,1362,0,0
1400000US,4013116729,1252,0,0
1400000US,4013116730,537,18,0.03
1400000US,4013116731,814,19,0.02
1400000US,4013116732,975,210,0.22
1400000US,4013116733,92,4,0.04
1400000US,4013116800,575,197,0.34
1400000US,4013116900,424,173,0.41
1400000US,4013117000,1268,281,0.22
1400000US,4013117100,223,23,0.1
1400000US,4013117200,204,56,0.27
1400000US,4013117300,258,161,0.62
1400000US,4013216806,867,50,0.06
1400000US,4013216807,1635,73,0.04
1400000US,4013216809,1536,87,0.06
1400000US,4013216810,278,10,0.04
1400000US,4013216813,1259,30,0.02
1400000US,4013216816,1484,14,0.01
1400000US,4013216818,1852,98,0.05
1400000US,4013216819,2042,20,0.01
1400000US,4013216820,1381,109,0.08
1400000US,4013216821,2127,32,0.02
1400000US,4013216822,1467,26,0.02
1400000US,4013216826,924,46,0.05
1400000US,4013216829,1684,34,0.02
1400000US,4013216830,629,17,0.03
1400000US,4013216831,771,23,0.03
1400000US,4013216832,571,26,0.05
1400000US,4013216833,1462,92,0.06
1400000US,4013216834,654,23,0.04
1400000US,4013216835,613,39,0.06
1400000US,4013216836,1126,80,0.07
1400000US,4013216837,1232,65,0.05
1400000US,4013216838,1362,20,0.01
1400000US,4013216839,1118,15,0.01
1400000US,4013216840,1423,29,0.02
1400000US,4013216841,1023,37,0.04
1400000US,4013216842,1079,48,0.04
1400000US,4013216843,1211,26,0.02
1400000US,4013216844,1089,12,0.01
1400000US,4013216845,527,48,0.09
1400000US,4013216846,2059,106,0.05
1400000US,4013216847,1950,87,0.04
1400000US,4013216848,1959,102,0.05
1400000US,4013216849,2035,111,0.05
1400000US,4013216850,956,19,0.02
1400000US,4013216851,1259,26,0.02
1400000US,4013216852,650,11,0.02
1400000US,4013216853,1139,24,0.02
1400000US,4013216901,911,66,0.07
1400000US,4013216902,919,10,0.01
1400000US,4013217001,1114,31,0.03
1400000US,4013217002,1595,43,0.03
1400000US,4013217101,588,56,0.1
1400000US,4013217102,673,75,0.11
1400000US,4013217201,276,42,0.15
1400000US,4013217203,825,37,0.04
1400000US,4013217204,540,170,0.31
1400000US,4013217300,798,39,0.05
1400000US,4013217400,815,46,0.06
1400000US,4013217501,744,251,0.34
1400000US,4013217502,492,51,0.1
1400000US,4013217600,1058,113,0.11
1400000US,4013217700,989,68,0.07
1400000US,4013217800,1420,122,0.09
1400000US,4013217900,894,54,0.06
1400000US,4013218000,1377,138,0.1
1400000US,4013218100,457,59,0.13
1400000US,4013218200,1065,176,0.17
1400000US,4013218300,789,96,0.12
1400000US,4013318400,747,212,0.28
1400000US,4013318501,671,55,0.08
1400000US,4013318700,140,32,0.23
1400000US,4013318800,797,152,0.19
1400000US,4013318900,1030,106,0.1
1400000US,4013319000,276,10,0.04
1400000US,4013319101,189,60,0.32
1400000US,4013319103,422,138,0.33
1400000US,4013319104,816,168,0.21
1400000US,4013319201,1002,405,0.4
1400000US,4013319202,534,133,0.25
1400000US,4013319300,488,137,0.28
1400000US,4013319401,1327,149,0.11
1400000US,4013319402,1038,39,0.04
1400000US,4013319403,983,181,0.18
1400000US,4013319404,761,31,0.04
1400000US,4013319500,1116,115,0.1
1400000US,4013319600,1326,125,0.09
1400000US,4013319703,949,138,0.15
1400000US,4013319704,291,41,0.14
1400000US,4013319705,695,202,0.29
1400000US,4013319706,1074,211,0.2
1400000US,4013319800,1185,215,0.18
1400000US,4013319902,682,17,0.02
1400000US,4013319903,1567,47,0.03
1400000US,4013319904,1363,28,0.02
1400000US,4013319905,1279,81,0.06
1400000US,4013319906,849,16,0.02
1400000US,4013319907,641,4,0.01
1400000US,4013319908,573,60,0.1
1400000US,4013319909,737,47,0.06
1400000US,4013319910,1390,94,0.07
1400000US,4013320001,1683,149,0.09
1400000US,4013320002,1241,390,0.31
1400000US,4013320007,1440,182,0.13
1400000US,4013320100,309,8,0.03
1400000US,4013420104,1698,166,0.1
1400000US,4013420105,1621,69,0.04
1400000US,4013420107,1982,67,0.03
1400000US,4013420108,482,9,0.02
1400000US,4013420109,1258,20,0.02
1400000US,4013420110,1371,81,0.06
1400000US,4013420111,878,114,0.13
1400000US,4013420112,876,10,0.01
1400000US,4013420113,788,193,0.24
1400000US,4013420114,803,161,0.2
1400000US,4013420115,697,223,0.32
1400000US,4013420116,588,42,0.07
1400000US,4013420202,1367,33,0.02
1400000US,4013420206,1027,134,0.13
1400000US,4013420207,938,8,0.01
1400000US,4013420208,1306,136,0.1
1400000US,4013420209,1060,35,0.03
1400000US,4013420210,1382,163,0.12
1400000US,4013420211,1184,31,0.03
1400000US,4013420212,946,68,0.07
1400000US,4013420213,757,67,0.09
1400000US,4013420214,952,128,0.13
1400000US,4013420215,494,47,0.1
1400000US,4013420216,954,34,0.04
1400000US,4013420301,593,46,0.08
1400000US,4013420302,1229,83,0.07
1400000US,4013420303,1169,84,0.07
1400000US,4013420304,306,0,0
1400000US,4013420401,901,281,0.31
1400000US,4013420402,640,20,0.03
1400000US,4013420501,1511,312,0.21
1400000US,4013420503,771,211,0.27
1400000US,4013420504,852,27,0.03
1400000US,4013420602,1297,119,0.09
1400000US,4013420603,898,37,0.04
1400000US,4013420604,1062,49,0.05
1400000US,4013420704,1266,81,0.06
1400000US,4013420705,913,33,0.04
1400000US,4013420706,1151,94,0.08
1400000US,4013420707,655,79,0.12
1400000US,4013420708,953,177,0.19
1400000US,4013420709,937,106,0.11
1400000US,4013420710,809,118,0.15
1400000US,4013420800,1209,154,0.13
1400000US,4013420901,844,202,0.24
1400000US,4013420902,844,126,0.15
1400000US,4013421001,765,152,0.2
1400000US,4013421002,628,144,0.23
1400000US,4013421101,1010,106,0.1
1400000US,4013421102,1465,358,0.24
1400000US,4013421201,797,55,0.07
1400000US,4013421202,904,83,0.09
1400000US,4013421302,1234,352,0.29
1400000US,4013421303,1126,250,0.22
1400000US,4013421304,493,111,0.23
1400000US,4013421400,424,88,0.21
1400000US,4013421501,783,122,0.16
1400000US,4013421502,683,180,0.26
1400000US,4013421601,845,161,0.19
1400000US,4013421602,918,310,0.34
1400000US,4013421701,1038,157,0.15
1400000US,4013421702,912,223,0.24
1400000US,4013421801,566,89,0.16
1400000US,4013421802,1041,277,0.27
1400000US,4013421901,910,181,0.2
1400000US,4013421902,1369,521,0.38
1400000US,4013422001,925,382,0.41
1400000US,4013422002,721,188,0.26
1400000US,4013422102,1028,338,0.33
1400000US,4013422103,930,250,0.27
1400000US,4013422104,1052,277,0.26
1400000US,4013422105,836,224,0.27
1400000US,4013422106,1483,376,0.25
1400000US,4013422107,860,207,0.24
1400000US,4013422203,1006,127,0.13
1400000US,4013422204,667,31,0.05
1400000US,4013422205,361,2,0.01
1400000US,4013422209,1607,20,0.01
1400000US,4013422210,1362,120,0.09
1400000US,4013422211,651,69,0.11
1400000US,4013422212,1227,91,0.07
1400000US,4013422213,647,39,0.06
1400000US,4013422215,504,22,0.04
1400000US,4013422216,1353,80,0.06
1400000US,4013422217,918,112,0.12
1400000US,4013422218,642,31,0.05
1400000US,4013422219,633,93,0.15
1400000US,4013422220,515,34,0.07
1400000US,4013422221,937,74,0.08
1400000US,4013422222,609,37,0.06
1400000US,4013422301,1243,334,0.27
1400000US,4013422302,1047,81,0.08
1400000US,4013422304,525,35,0.07
1400000US,4013422305,1375,14,0.01
1400000US,4013422307,945,58,0.06
1400000US,4013422308,1218,13,0.01
1400000US,4013422309,1165,97,0.08
1400000US,4013422401,641,39,0.06
1400000US,4013422402,1343,205,0.15
1400000US,4013422403,1237,38,0.03
1400000US,4013422404,1082,18,0.02
1400000US,4013422501,1353,71,0.05
1400000US,4013422502,1367,124,0.09
1400000US,4013422503,1549,193,0.12
1400000US,4013422504,1196,139,0.12
1400000US,4013422506,1272,33,0.03
1400000US,4013422507,1154,37,0.03
1400000US,4013422508,859,63,0.07
1400000US,4013422509,1379,134,0.1
1400000US,4013422510,870,76,0.09
1400000US,4013422511,748,17,0.02
1400000US,4013422512,1179,43,0.04
1400000US,4013422513,1073,76,0.07
1400000US,4013422514,1099,99,0.09
1400000US,4013422606,2724,80,0.03
1400000US,4013422607,1218,39,0.03
1400000US,4013422609,1049,67,0.06
1400000US,4013422610,830,53,0.06
1400000US,4013422615,2111,70,0.03
1400000US,4013422616,1208,68,0.06
1400000US,4013422617,1487,82,0.06
1400000US,4013422618,967,16,0.02
1400000US,4013422620,787,21,0.03
1400000US,4013422621,1129,98,0.09
1400000US,4013422622,1071,36,0.03
1400000US,4013422623,1513,164,0.11
1400000US,4013422624,850,67,0.08
1400000US,4013422625,798,46,0.06
1400000US,4013422626,856,66,0.08
1400000US,4013422627,779,44,0.06
1400000US,4013422628,713,133,0.19
1400000US,4013422629,942,38,0.04
1400000US,4013422630,1427,272,0.19
1400000US,4013422631,1161,104,0.09
1400000US,4013422632,1082,84,0.08
1400000US,4013422633,872,90,0.1
1400000US,4013422634,1235,238,0.19
1400000US,4013422635,605,39,0.06
1400000US,4013422636,589,15,0.03
1400000US,4013422637,944,44,0.05
1400000US,4013422638,1021,118,0.12
1400000US,4013422639,1110,44,0.04
1400000US,4013422640,1258,122,0.1
1400000US,4013422641,1754,193,0.11
1400000US,4013422642,1417,43,0.03
1400000US,4013422643,1647,77,0.05
1400000US,4013422644,2594,150,0.06
1400000US,4013422646,2783,77,0.03
1400000US,4013522800,169,32,0.19
1400000US,4013522901,1127,83,0.07
1400000US,4013522903,1074,230,0.21
1400000US,4013522904,1010,336,0.33
1400000US,4013523002,1280,275,0.21
1400000US,4013523003,1388,154,0.11
1400000US,4013523005,1202,48,0.04
1400000US,4013523006,1415,122,0.09
1400000US,4013523102,1165,329,0.28
1400000US,4013523103,1252,74,0.06
1400000US,4013523104,1307,196,0.15
1400000US,4013610000,1875,16,0.01
1400000US,4013610100,207,0,0
1400000US,4013610200,2440,75,0.03
1400000US,4013610300,2516,116,0.05
1400000US,4013610400,1485,23,0.02
1400000US,4013610500,1865,86,0.05
1400000US,4013610600,1583,8,0.01
1400000US,4013610700,2025,68,0.03
1400000US,4013610800,1251,0,0
1400000US,4013610900,2182,16,0.01
1400000US,4013611000,681,0,0
1400000US,4013611100,821,16,0.02
1400000US,4013611200,1422,8,0.01
1400000US,4013611300,1337,51,0.04
1400000US,4013611400,1814,37,0.02
1400000US,4013611500,1918,13,0.01
1400000US,4013611600,914,21,0.02
1400000US,4013611700,1730,80,0.05
1400000US,4013611800,1683,0,0
1400000US,4013611900,679,4,0.01
1400000US,4013612000,905,0,0
1400000US,4013612200,1315,60,0.05
1400000US,4013612300,2066,62,0.03
1400000US,4013612400,1931,14,0.01
1400000US,4013612500,1264,19,0.02
1400000US,4013612600,694,21,0.03
1400000US,4013612700,657,0,0
1400000US,4013612800,574,50,0.09
1400000US,4013612900,737,28,0.04
1400000US,4013613000,1465,68,0.05
1400000US,4013613100,1047,112,0.11
1400000US,4013613200,1207,168,0.14
1400000US,4013613300,2166,159,0.07
1400000US,4013613400,963,44,0.05
1400000US,4013613500,1081,61,0.06
1400000US,4013613600,1414,78,0.06
1400000US,4013613700,1452,39,0.03
1400000US,4013613800,1024,0,0
1400000US,4013613900,1599,55,0.03
1400000US,4013614000,1149,16,0.01
1400000US,4013614100,1866,57,0.03
1400000US,4013614200,1279,26,0.02
1400000US,4013614300,996,55,0.06
1400000US,4013614400,968,148,0.15
1400000US,4013614500,1031,46,0.04
1400000US,4013614600,1348,126,0.09
1400000US,4013614700,506,185,0.37
1400000US,4013614800,948,53,0.06
1400000US,4013614900,1069,20,0.02
1400000US,4013615000,2365,108,0.05
1400000US,4013615100,1116,64,0.06
1400000US,4013615200,1657,15,0.01
1400000US,4013615300,674,17,0.03
1400000US,4013615400,851,54,0.06
1400000US,4013615500,865,9,0.01
1400000US,4013615600,965,87,0.09
1400000US,4013615700,780,12,0.02
1400000US,4013615800,1286,17,0.01
1400000US,4013615900,1118,84,0.08
1400000US,4013616000,427,5,0.01
1400000US,4013616100,841,27,0.03
1400000US,4013616200,774,20,0.03
1400000US,4013616300,571,39,0.07
1400000US,4013616400,1598,122,0.08
1400000US,4013616500,760,36,0.05
1400000US,4013616600,1338,73,0.05
1400000US,4013616700,1036,54,0.05
1400000US,4013616800,1331,120,0.09
1400000US,4013616900,1048,36,0.03
1400000US,4013617000,1398,137,0.1
1400000US,4013617100,567,5,0.01
1400000US,4013617200,794,9,0.01
1400000US,4013617300,799,16,0.02
1400000US,4013617400,2037,166,0.08
1400000US,4013617500,1192,63,0.05
1400000US,4013617600,1490,161,0.11
1400000US,4013617700,804,28,0.03
1400000US,4013617800,717,15,0.02
1400000US,4013617900,705,38,0.05
1400000US,4013618000,1230,100,0.08
1400000US,4013618100,1257,28,0.02
1400000US,4013618200,1025,108,0.11
1400000US,4013618300,786,33,0.04
1400000US,4013618400,832,121,0.15
1400000US,4013618500,986,42,0.04
1400000US,4013618600,1065,108,0.1
1400000US,4013618700,682,94,0.14
1400000US,4013618800,1012,182,0.18
1400000US,4013618900,1554,77,0.05
1400000US,4013619000,774,29,0.04
1400000US,4013619100,726,215,0.3
1400000US,4013619200,1145,289,0.25
1400000US,4013619300,941,152,0.16
1400000US,4013619400,1022,122,0.12
1400000US,4013619500,1219,162,0.13
1400000US,4013619600,473,28,0.06
1400000US,4013619700,901,45,0.05
1400000US,4013619800,1276,84,0.07
1400000US,4013619900,1581,0,0
1400000US,4013723303,12,0,0
1400000US,4013723304,1325,129,0.1
1400000US,4013723305,596,190,0.32
1400000US,4013723306,20,5,0.25
1400000US,4013723307,640,4,0.01
1400000US,4013723308,2313,140,0.06
1400000US,4013810000,554,0,0
1400000US,4013810100,1842,33,0.02
1400000US,4013810200,919,44,0.05
1400000US,4013810300,1300,84,0.06
1400000US,4013810400,1155,106,0.09
1400000US,4013810500,1477,26,0.02
1400000US,4013810600,1727,0,0
1400000US,4013810700,1747,112,0.06
1400000US,4013810800,964,48,0.05
1400000US,4013810900,1251,67,0.05
1400000US,4013811000,777,3,0
1400000US,4013811100,623,42,0.07
1400000US,4013811200,642,47,0.07
1400000US,4013811300,743,43,0.06
1400000US,4013811400,1452,7,0
1400000US,4013811500,712,20,0.03
1400000US,4013811600,1067,20,0.02
1400000US,4013811700,1027,33,0.03
1400000US,4013811800,571,4,0.01
1400000US,4013811900,1495,0,0
1400000US,4013812000,1109,130,0.12
1400000US,4013812100,1549,31,0.02
1400000US,4013812200,1695,67,0.04
1400000US,4013812300,1190,40,0.03
1400000US,4013812400,994,48,0.05
1400000US,4013812500,603,26,0.04
1400000US,4013812600,1381,30,0.02
1400000US,4013812700,1654,171,0.1
1400000US,4013812800,1322,55,0.04
1400000US,4013812900,675,37,0.05
1400000US,4013813000,1465,0,0
1400000US,4013813100,721,3,0
1400000US,4013813200,961,0,0
1400000US,4013813300,1460,8,0.01
1400000US,4013813400,977,67,0.07
1400000US,4013813500,759,38,0.05
1400000US,4013813600,1006,15,0.01
1400000US,4013813700,990,62,0.06
1400000US,4013813800,667,22,0.03
1400000US,4013813900,1419,89,0.06
1400000US,4013814000,800,45,0.06
1400000US,4013814100,1325,28,0.02
1400000US,4013814200,690,16,0.02
1400000US,4013814300,906,28,0.03
1400000US,4013814400,1193,7,0.01
1400000US,4013814500,1396,24,0.02
1400000US,4013814600,1199,75,0.06
1400000US,4013814700,1079,60,0.06
1400000US,4013814800,1830,147,0.08
1400000US,4013814900,684,11,0.02
1400000US,4013815000,931,5,0.01
1400000US,4013815100,1182,24,0.02
1400000US,4013815200,2265,97,0.04
1400000US,4013815300,1024,15,0.01
1400000US,4013815400,2018,99,0.05
1400000US,4013815500,1383,54,0.04
1400000US,4013815600,1392,19,0.01
1400000US,4013815700,1318,26,0.02
1400000US,4013815800,1467,41,0.03
1400000US,4013815900,2355,37,0.02
1400000US,4013816000,3719,232,0.06
1400000US,4013816100,1703,21,0.01
1400000US,4013816200,924,26,0.03
1400000US,4013816300,1759,37,0.02
1400000US,4013816400,2140,121,0.06
1400000US,4013816500,1002,40,0.04
1400000US,4013816600,1169,48,0.04
1400000US,4013816700,526,35,0.07
1400000US,4013816800,1079,14,0.01
1400000US,4013816900,1326,63,0.05
1400000US,4013817000,920,67,0.07
1400000US,4013817100,2324,319,0.14
1400000US,4013817200,1813,113,0.06
1400000US,4013817300,2117,95,0.04
